[vite] connecting...
client:618 [vite] connected.
Game.js:70 [TRACE] enabled (?trace=true)
main.js:479 Audio play failed: NotAllowedError: play() failed because the user didn't interact with the document first.
main.js:524 BGM play failed: NotSupportedError: The element has no supported sources.
Game.js:77 [TRACE #1] wave.complete.check.passed {frame: 1, ts: 1308, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #2] wave.complete.check.passed {frame: 2, ts: 1324, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #3] wave.complete.check.passed {frame: 3, ts: 1341, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #4] wave.complete.check.passed {frame: 4, ts: 1357, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #5] wave.complete.check.passed {frame: 5, ts: 1396, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #6] wave.complete.check.passed {frame: 6, ts: 1397, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #7] wave.complete.check.passed {frame: 7, ts: 1419, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #8] wave.complete.check.passed {frame: 8, ts: 1423, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #9] wave.complete.check.passed {frame: 9, ts: 1440, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #10] wave.complete.check.passed {frame: 10, ts: 1457, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #11] wave.complete.check.passed {frame: 11, ts: 1474, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #12] wave.complete.check.passed {frame: 12, ts: 1490, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #13] wave.complete.check.passed {frame: 13, ts: 1507, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #14] wave.complete.check.passed {frame: 14, ts: 1524, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #15] wave.complete.check.passed {frame: 15, ts: 1540, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #16] wave.complete.check.passed {frame: 16, ts: 1557, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #17] wave.complete.check.passed {frame: 17, ts: 1574, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #18] wave.complete.check.passed {frame: 18, ts: 1590, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #19] wave.complete.check.passed {frame: 19, ts: 1607, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #20] wave.complete.check.passed {frame: 20, ts: 1623, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #21] wave.complete.check.passed {frame: 21, ts: 1640, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #22] wave.complete.check.passed {frame: 22, ts: 1657, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #23] wave.complete.check.passed {frame: 23, ts: 1673, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #24] wave.complete.check.passed {frame: 24, ts: 1690, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #25] wave.complete.check.passed {frame: 25, ts: 1707, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #26] wave.complete.check.passed {frame: 26, ts: 1723, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #27] wave.complete.check.passed {frame: 27, ts: 1740, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #28] wave.complete.check.passed {frame: 28, ts: 1756, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #29] wave.complete.check.passed {frame: 29, ts: 1773, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #30] wave.complete.check.passed {frame: 30, ts: 1790, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #31] wave.complete.check.passed {frame: 31, ts: 1807, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #32] wave.complete.check.passed {frame: 32, ts: 1823, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #33] wave.complete.check.passed {frame: 33, ts: 1839, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #34] wave.complete.check.passed {frame: 34, ts: 1856, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #35] wave.complete.check.passed {frame: 35, ts: 1872, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #36] wave.complete.check.passed {frame: 36, ts: 1890, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #37] wave.complete.check.passed {frame: 37, ts: 1907, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
Game.js:77 [TRACE #38] wave.complete.check.passed {frame: 38, ts: 1924, wave: 0, enemiesToSpawn: 0, enemiesOnField: 0, …}
